town,ticket_1,vote_1,ticket_2,vote_2,ticket_3,vote_3,distance,rank
雲林縣斗六市,27064,45.66%,30486,51.43%,1718,2.89%,0.2161,1
雲林縣麥寮鄉,8194,45.76%,9204,51.40%,508,2.83%,0.2486,2
桃園縣蘆竹鄉,35019,45.61%,39773,51.80%,1980,2.57%,0.2766,3
新北市八里區,9147,45.73%,10260,51.30%,591,2.95%,0.3689,4
彰化縣田中鎮,11132,45.93%,12416,51.23%,684,2.82%,0.4801,5
彰化縣和美鎮,23339,45.26%,26618,51.62%,1602,3.10%,0.5029,6
桃園縣大溪鎮,23630,45.99%,26306,51.20%,1434,2.79%,0.539,7
臺中市太平區,45008,45.35%,51045,51.44%,3178,3.20%,0.5455,8
彰化縣大村鄉,9591,46.04%,10646,51.10%,593,2.84%,0.6515,9
臺中市龍井區,18392,45.09%,21138,51.83%,1251,3.06%,0.6592,10
臺南市楠西區,2682,45.34%,3086,52.17%,147,2.48%,0.6981,11
臺中市梧棲區,14138,46.09%,15648,51.01%,885,2.88%,0.7577,12
苗栗縣通霄鎮,10026,46.31%,11058,51.08%,562,2.59%,0.8728,13
新北市泰山區,20410,46.19%,22501,50.93%,1268,2.87%,0.8801,14
臺北市士林區,82052,46.43%,90454,51.18%,4203,2.37%,0.9841,15
臺中市大甲區,20133,46.38%,22098,50.91%,1172,2.70%,1.0209,16
新北市土城區,61496,44.90%,71744,52.39%,3692,2.69%,1.0779,17
新北市板橋區,155253,46.47%,169703,50.80%,9084,2.71%,1.1611,18
宜蘭縣宜蘭市,24498,46.62%,26570,50.56%,1480,2.81%,1.4367,19
南投縣鹿谷鄉,4845,44.56%,5718,52.59%,308,2.83%,1.4594,20
新北市萬里區,5712,44.59%,6742,52.63%,355,2.77%,1.4638,21
臺北市萬華區,53436,44.64%,63091,52.70%,3172,2.64%,1.4848,22
臺南市東區,50892,46.74%,55097,50.60%,2884,2.64%,1.4988,23
新北市三峽區,25257,44.46%,29844,52.53%,1706,3.00%,1.5137,24
臺中市潭子區,27071,46.40%,29340,50.29%,1921,3.29%,1.6093,25
高雄市甲仙區,1761,46.36%,1908,50.23%,129,3.39%,1.6753,26
彰化縣溪湖鎮,13338,44.45%,15846,52.81%,819,2.72%,1.6906,27
臺中市南區,29525,44.27%,35089,52.61%,2078,3.11%,1.7298,28
新竹市香山區,19614,46.85%,20995,50.15%,1250,2.98%,1.9077,29
臺中市石岡區,4201,44.13%,5020,52.74%,297,3.12%,1.9181,30
雲林縣臺西鄉,5958,47.07%,6368,50.31%,330,2.60%,1.9399,31
臺中市大肚區,14193,44.12%,16985,52.80%,990,3.07%,1.9535,32
臺中市大里區,52525,46.59%,56323,49.95%,3889,3.44%,2.0265,33
南投縣魚池鄉,4330,47.15%,4614,50.25%,238,2.59%,2.04,34
彰化縣北斗鎮,8700,47.10%,9252,50.09%,517,2.79%,2.1076,35
新北市樹林區,48257,47.06%,51328,50.05%,2957,2.88%,2.1123,36
臺中市大安區,5575,47.35%,5953,50.56%,245,2.08%,2.1219,37
臺中市烏日區,18793,46.94%,19969,49.87%,1273,3.17%,2.2084,38
臺中市后里區,14651,46.94%,15548,49.82%,1008,3.23%,2.2595,39
新北市雙溪區,2709,46.99%,2872,49.82%,183,3.17%,2.2773,40
南投縣集集鎮,2945,43.78%,3552,52.80%,229,3.40%,2.2961,41
臺中市西區,29425,43.73%,35773,53.17%,2075,3.08%,2.4854,42
澎湖縣白沙鄉,1840,45.88%,1994,49.72%,176,4.38%,2.4943,43
臺中市中區,5239,47.19%,5514,49.67%,347,3.12%,2.5076,44
臺中市霧峰區,17939,46.83%,18985,49.56%,1382,3.60%,2.5114,45
彰化縣員林鎮,30309,43.67%,36982,53.28%,2108,3.03%,2.5956,46
澎湖縣馬公市,12371,43.57%,14786,52.08%,1231,4.33%,2.6342,47
新北市金山區,6087,47.68%,6385,50.01%,294,2.30%,2.6348,48
彰化縣永靖鄉,10415,47.32%,10917,49.60%,674,3.06%,2.6355,49
臺北市北投區,66986,43.96%,81708,53.62%,3668,2.40%,2.6455,50
新北市鶯歌區,23297,47.44%,24386,49.66%,1416,2.88%,2.656,51
臺中市東勢區,13635,43.52%,16663,53.19%,1028,3.28%,2.6927,52
臺中市沙鹿區,20296,43.54%,24885,53.38%,1433,3.07%,2.7627,53
彰化縣彰化市,58808,43.47%,72275,53.43%,4186,3.09%,2.8502,54
臺中市大雅區,21810,43.44%,26805,53.39%,1582,3.15%,2.8552,55
彰化縣大城鄉,4057,43.68%,5000,53.83%,231,2.48%,2.9755,56
屏東縣屏東市,58083,48.02%,60201,49.77%,2664,2.20%,3.0618,57
彰化縣伸港鄉,8687,43.16%,10806,53.69%,630,3.13%,3.2567,58
彰化縣田尾鄉,7551,47.93%,7753,49.21%,448,2.84%,3.3179,59
苗栗縣卓蘭鎮,5184,48.12%,5325,49.42%,264,2.45%,3.3239,60
南投縣中寮鄉,4418,48.21%,4498,49.08%,247,2.69%,3.6072,61
高雄市左營區,47560,43.25%,59710,54.30%,2679,2.43%,3.6143,62
雲林縣虎尾鎮,18522,48.37%,18784,49.06%,980,2.55%,3.7421,63
嘉義縣大埔鄉,948,48.17%,961,48.83%,59,2.99%,3.7653,64
嘉義市東區,33803,48.53%,33958,48.76%,1882,2.70%,4.0595,65
南投縣水里鄉,4600,42.57%,5872,54.34%,333,3.08%,4.1199,66
彰化縣花壇鄉,11236,42.64%,14364,54.52%,746,2.83%,4.1799,67
臺北市中山區,58439,42.63%,74867,54.62%,3749,2.73%,4.2569,68
臺中市東區,21672,48.45%,21650,48.40%,1401,3.13%,4.2813,69
彰化縣秀水鄉,10897,48.67%,10878,48.58%,613,2.73%,4.2852,70
新北市新莊區,113885,48.80%,113146,48.49%,6303,2.70%,4.4412,71
新北市五股區,22314,48.78%,22154,48.43%,1276,2.78%,4.469,72
南投縣草屯鎮,24009,42.34%,31018,54.71%,1667,2.94%,4.5308,73
彰化縣二林鎮,12075,42.44%,15603,54.84%,773,2.71%,4.5471,74
桃園縣大園鄉,21905,48.87%,21679,48.37%,1234,2.75%,4.575,75
高雄市鼓山區,38714,49.12%,38288,48.58%,1805,2.29%,4.6391,76
臺中市清水區,23870,49.03%,23508,48.28%,1303,2.67%,4.7529,77
南投縣竹山鎮,15801,49.30%,15548,48.51%,701,2.18%,4.8325,78
臺中市南屯區,35777,41.80%,46962,54.87%,2848,3.32%,5.0671,79
桃園縣龜山鄉,32298,41.78%,42689,55.22%,2311,2.98%,5.2892,80
臺中市豐原區,47675,49.32%,46174,47.77%,2807,2.90%,5.3202,81
新北市石門區,2952,42.11%,3896,55.57%,162,2.31%,5.3248,82
臺中市新社區,7487,49.45%,7224,47.71%,428,2.82%,5.4523,83
新北市林口區,19638,41.44%,26061,55.00%,1683,3.55%,5.4535,84
新竹市北區,34624,41.60%,45997,55.26%,2604,3.12%,5.4558,85
臺中市外埔區,7583,41.69%,10084,55.44%,521,2.86%,5.5027,86
宜蘭縣頭城鎮,6928,41.47%,9249,55.37%,526,3.14%,5.627,87
新北市瑞芳區,10241,41.41%,13697,55.39%,787,3.18%,5.6876,88
臺中市北屯區,58981,41.33%,79093,55.43%,4605,3.22%,5.7767,89
彰化縣埔鹽鄉,8032,41.62%,10771,55.81%,493,2.55%,5.8179,90
新北市深坑區,5799,41.19%,7847,55.74%,430,3.05%,6.0776,91
高雄市楠梓區,50536,50.15%,47855,47.49%,2373,2.35%,6.123,92
基隆市仁愛區,11291,40.96%,15308,55.54%,961,3.48%,6.1523,93
臺南市南化區,2515,49.43%,2382,46.82%,190,3.73%,6.183,94
高雄市苓雅區,56730,50.35%,53341,47.34%,2593,2.30%,6.3748,95
臺南市玉井區,4348,50.18%,4074,47.02%,242,2.79%,6.456,96
彰化縣社頭鄉,12814,50.35%,11926,46.86%,706,2.77%,6.6893,97
臺中市北區,34635,40.50%,47889,56.01%,2975,3.47%,6.8021,98
新北市淡水區,35103,40.84%,48506,56.43%,2342,2.72%,6.8025,99
桃園縣桃園市,91421,40.69%,126560,56.33%,6685,2.97%,6.8426,100
桃園縣新屋鄉,14258,50.57%,13175,46.73%,759,2.69%,6.9372,101
彰化縣埔心鄉,10141,50.52%,9366,46.66%,565,2.81%,6.9511,102
高雄市鳳山區,103396,50.67%,95531,46.82%,5100,2.49%,6.9515,103
苗栗縣後龍鎮,8766,40.86%,12159,56.68%,525,2.44%,6.9758,104
臺南市北區,39911,50.75%,36636,46.59%,2087,2.65%,7.1643,105
澎湖縣西嶼鄉,1908,49.49%,1768,45.86%,179,4.64%,7.1681,106
彰化縣二水鄉,4966,50.34%,4558,46.21%,339,3.43%,7.1892,107
新北市三芝區,5337,40.78%,7468,57.06%,281,2.14%,7.3293,108
高雄市岡山區,29593,50.79%,26952,46.26%,1711,2.93%,7.4277,109
彰化縣鹿港鎮,25150,50.73%,22863,46.11%,1563,3.15%,7.5035,110
高雄市前金區,9254,51.00%,8412,46.35%,479,2.63%,7.5111,111
高雄市美濃區,13084,51.12%,11808,46.14%,698,2.72%,7.743,112
南投縣南投市,23513,39.67%,33451,56.44%,2302,3.88%,7.759,113
臺中市西屯區,46854,39.91%,66724,56.83%,3814,3.24%,7.7654,114
彰化縣埤頭鄉,8612,51.41%,7764,46.35%,373,2.22%,7.827,115
新竹縣峨眉鄉,1493,39.86%,2135,57.00%,117,3.12%,7.9109,116
南投縣國姓鄉,4457,39.96%,6374,57.15%,321,2.87%,7.935,117
臺南市安平區,17802,51.23%,15973,45.96%,972,2.79%,7.948,118
高雄市新興區,17424,51.50%,15576,46.04%,829,2.45%,8.0911,119
宜蘭縣羅東鎮,20341,51.60%,18093,45.90%,979,2.48%,8.2589,120
新北市三重區,122765,51.46%,109114,45.74%,6651,2.78%,8.2661,121
新北市汐止區,45214,39.67%,65463,57.44%,3282,2.87%,8.345,122
南投縣埔里鎮,17962,39.73%,26002,57.52%,1237,2.73%,8.3581,123
彰化縣福興鄉,14401,51.58%,12705,45.50%,812,2.90%,8.5224,124
屏東縣琉球鄉,2027,40.14%,2938,58.18%,84,1.66%,8.6398,125
基隆市中山區,11286,38.91%,16522,56.96%,1197,4.12%,8.7027,126
臺北市南港區,28118,39.51%,41141,57.82%,1890,2.65%,8.7267,127
基隆市七堵區,12246,39.08%,17978,57.37%,1109,3.53%,8.7629,128
新北市蘆洲區,58275,51.99%,50934,45.44%,2859,2.55%,8.8566,129
苗栗縣苑裡鎮,14156,52.12%,12296,45.27%,704,2.59%,9.0674,130
彰化縣芬園鄉,7607,51.96%,6591,45.02%,441,3.01%,9.1339,131
臺北市大同區,40907,52.39%,35220,45.11%,1944,2.49%,9.375,132
新北市平溪區,1734,52.27%,1492,44.98%,91,2.74%,9.3763,133
屏東縣恆春鎮,7920,52.65%,6796,45.18%,324,2.15%,9.5325,134
彰化縣線西鄉,3625,37.95%,5519,57.77%,408,4.27%,9.9665,135
雲林縣林內鄉,5882,52.89%,4955,44.55%,283,2.54%,10.1222,136
雲林縣斗南鎮,14049,52.92%,11805,44.47%,689,2.59%,10.1985,137
彰化縣芳苑鄉,9838,53.11%,8207,44.30%,477,2.57%,10.4535,138
嘉義市西區,42908,53.20%,35577,44.11%,2160,2.67%,10.6496,139
臺南市永康區,67165,53.20%,55610,44.05%,3463,2.74%,10.6915,140
臺南市新營區,23288,53.45%,19089,43.81%,1192,2.73%,11.038,141
高雄市杉林區,3668,53.64%,3002,43.90%,167,2.44%,11.1154,142
苗栗縣竹南鎮,17094,37.57%,26992,59.33%,1405,3.08%,11.1722,143
臺中市神岡區,20026,53.54%,16340,43.68%,1036,2.76%,11.1935,144
宜蘭縣礁溪鄉,11168,53.80%,9104,43.85%,485,2.33%,11.2693,145
高雄市三民區,113891,53.86%,92734,43.86%,4798,2.26%,11.3089,146
桃園縣八德市,37742,37.48%,59873,59.46%,3067,3.04%,11.3261,147
南投縣名間鄉,12714,53.86%,10269,43.50%,619,2.62%,11.5483,148
屏東縣鹽埔鄉,8256,54.16%,6681,43.83%,305,2.00%,11.5634,149
高雄市彌陀區,6869,53.86%,5514,43.24%,369,2.89%,11.732,150
宜蘭縣蘇澳鎮,12829,53.91%,10297,43.27%,669,2.81%,11.7452,151
桃園縣平鎮市,43252,36.99%,70070,59.92%,3600,3.07%,11.9987,152
澎湖縣湖西鄉,3554,53.33%,2831,42.48%,278,4.17%,12.0188,153
高雄市鳥松區,14716,54.43%,11688,43.23%,631,2.33%,12.1524,154
臺南市中西區,25729,54.34%,20402,43.09%,1215,2.56%,12.1788,155
臺東縣鹿野鄉,1533,37.13%,2492,60.36%,103,2.49%,12.209,156
新竹縣新埔鎮,7922,36.94%,12909,60.20%,609,2.84%,12.2263,157
基隆市安樂區,17043,36.40%,27881,59.55%,1895,4.04%,12.2488,158
臺北市內湖區,60949,37.00%,99397,60.35%,4352,2.64%,12.2904,159
桃園縣觀音鄉,18256,54.22%,14409,42.79%,1001,2.97%,12.3064,160
臺北市松山區,46270,36.85%,76097,60.60%,3191,2.54%,12.5752,161
高雄市前鎮區,66062,54.87%,51722,42.96%,2610,2.16%,12.6644,162
雲林縣東勢鄉,4661,54.82%,3626,42.64%,215,2.52%,12.8373,163
基隆市中正區,11034,35.97%,18395,59.98%,1239,4.04%,12.8522,164
臺北市中正區,34295,36.55%,56982,60.74%,2531,2.69%,12.8837,165
屏東縣潮州鎮,17218,55.09%,13378,42.80%,658,2.10%,12.937,166
桃園縣楊梅市,30080,36.35%,50186,60.64%,2483,3.00%,12.9575,167
新北市中和區,94471,36.31%,158093,60.77%,7559,2.90%,13.0756,168
臺東縣卑南鄉,3329,36.26%,5589,60.88%,262,2.85%,13.188,169
臺北市信義區,50792,36.33%,85314,61.03%,3679,2.63%,13.2451,170
高雄市內門區,5288,55.16%,4058,42.33%,239,2.49%,13.2976,171
高雄市路竹區,17453,55.17%,13365,42.25%,813,2.57%,13.3593,172
屏東縣滿州鄉,2225,55.38%,1701,42.34%,91,2.26%,13.4559,173
嘉義縣水上鄉,17203,55.30%,13101,42.11%,804,2.58%,13.55,174
臺南市新化區,14281,55.45%,10787,41.88%,684,2.65%,13.8175,175
雲林縣褒忠鄉,4219,55.62%,3187,42.01%,179,2.35%,13.8541,176
高雄市永安區,4737,55.61%,3565,41.85%,215,2.52%,13.9542,177
嘉義縣布袋鎮,9849,55.84%,7408,42.00%,378,2.14%,14.0281,178
臺東縣池上鄉,1479,35.52%,2572,61.78%,112,2.69%,14.3475,179
桃園縣中壢市,74200,35.13%,130665,61.87%,6307,2.98%,14.6892,180
新竹市東區,38394,35.06%,67736,61.86%,3362,3.07%,14.7339,181
嘉義縣大林鎮,10814,56.46%,7917,41.34%,419,2.18%,14.9296,182
